state,Cloud,Consulting,Data & Analytics,Design & UX,Enterprise Operations,Infrastructure & Technology,Product Management,Project Management,Sales,Software Engineering
AZ,0,3,0,0,0,2,0,0,0,0
CA,0,2,0,0,0,0,0,0,1,6
CT,1,0,0,0,0,0,0,0,0,0
DC,0,2,1,0,0,0,0,0,1,0
GA,0,7,2,1,0,1,0,0,3,6
IL,0,11,5,2,0,1,0,0,1,3
LA,1,0,3,0,0,13,0,0,0,4
MA,0,0,0,0,0,0,1,0,0,0
MI,0,0,0,0,0,1,0,0,0,0
MN,1,0,0,0,1,1,0,0,0,0
NC,1,1,2,1,0,0,0,0,0,0
NJ,1,0,0,0,0,0,0,0,0,0
NY,1,4,1,1,2,10,1,1,1,5
PA,0,2,0,0,0,0,0,0,0,0
SC,0,1,0,0,0,0,0,0,0,0
TX,1,9,2,2,0,3,0,0,4,7
VA,0,3,0,0,0,1,0,0,0,5
WA,0,0,0,0,0,0,0,0,0,1
WV,0,0,0,0,0,0,0,0,0,1
