field,pct_populated,unique_values
id,100.0,154
title,100.0,146
official_title,100.0,147
category,100.0,11
career_level,100.0,2
department,100.0,11
location_summary,100.0,24
work_type,100.0,2
country,100.0,1
employment_type,100.0,4
contract_type,100.0,4
travel,100.0,7
shift,100.0,1
intro,100.0,70
responsibilities,100.0,125
company,100.0,2
commission_role,100.0,2
salary_min,100.0,60
salary_max,100.0,62
posted_at,100.0,55
url,100.0,154
about_business,100.0,7
life_at_ibm,100.0,1
skills_required,100.0,118
travel_norm,100.0,6
all_text,100.0,133
salary_mid,100.0,68
equal_opportunity,100.0,1
about_ibm,100.0,1
cluster35,100.0,7
umap_x,100.0,154
umap_y,100.0,154
seniority,100.0,4
tsne_x,100.0,138
role_type,100.0,2
posting_age_days,100.0,55
salary_spread,100.0,67
description_words,100.0,125
description_chars,100.0,132
title_norm,100.0,142
state_count,100.0,8
cities_inferred,100.0,40
states_inferred,100.0,30
visa_language,100.0,2
commission_bool,100.0,2
sentiment_score,100.0,111
tsne_y,100.0,138
readability_flesch,100.0,124
skill_terms,100.0,60
edu_bin,100.0,4
city_points,100.0,39
edu_required,99.35,4
compensation_policy,99.35,2
skills_preferred,86.36,103
edu_preferred,77.27,4
visa_policy,72.08,1
benefits,53.25,2
other_notes,47.4,3
extra_content,29.87,2
states,0.0,0
cities,0.0,0
